id,owner,name,spirit,cape,torso,arms,mask,mouth,bottoms,boots,base,alt,eyes,skin
1,0x147B8869655Bc09f226955cc676fF78efe240cA8,,,,Suspenders,Gloves,Striped,,,,f7c23c,e0369f,339842,50270e
2,0x147B8869655Bc09f226955cc676fF78efe240cA8,,,,,Arm Bands,Split,,,Two Tone,13cac6,e0369f,339842,3a1b09
3,0x147B8869655Bc09f226955cc676fF78efe240cA8,,,,Open Shirt,Sleeves,,,Tights,,d22f94,2854e6,3ba599,f39c77
4,0x147B8869655Bc09f226955cc676fF78efe240cA8,,,,,Left Band,Arrow,,,,1c49d8,1da951,3ba577,ffcb84
5,0x147B8869655Bc09f226955cc676fF78efe240cA8,,,Classic,,Gloves,Classic,,,,19b554,11b9b5,a5823b,f7b897
6,0x147B8869655Bc09f226955cc676fF78efe240cA8,El Rosado,,Classic,,Gloves,Classic,,,,d22f94,e0369f,7fa53b,50270e
7,0x789146F9BCf06008D18b785912410F93b26c2340,,,,Open Shirt,Arm Bands,Arrow,,,,13cac6,11b9b5,3b6ba5,f39c77
8,0x789146F9BCf06008D18b785912410F93b26c2340,,Jaguar,,,,Winged,,Tights,,f18e2f,e0369f,a5823b,f39c77
9,0x789146F9BCf06008D18b785912410F93b26c2340,,,,Suspenders,Sleeves,Winged,,Tights,,cc0d3d,2854e6,4e2906,f39c77
10,0x789146F9BCf06008D18b785912410F93b26c2340,,,,Open Shirt,Left Band,Split,,,,cc0d3d,13141f,3ba577,f9d1b7
11,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,Shirt,,Fierce,,,,f18e2f,9511d2,339842,50270e
12,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,,Striped,Moustache,Tights,,1c1d2f,9511d2,3b8fa5,3a1b09
13,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,Suspenders,,Classic,,,Two Tone,ebebf7,11b9b5,3ba577,bd7e47
14,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,Juan Peppermint Coco Latte Ruiz,,,Suspenders,,,,,High,13cac6,1da951,4e2906,3a1b09
15,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,Gloves,Fierce,,Trunk Tights,,ebebf7,2854e6,3ba577,bd7e47
16,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,Right Band,Striped,,,,cc0d3d,e28327,339842,f39c77
17,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,Bull,,Open Shirt,Gloves,Arrow,,,,13cac6,dadae6,4e2906,b97e4b
18,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,Wrist Bands,Striped,,,,d22f94,2854e6,a5693b,f9d1b7
19,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,,Dash,,,,f18e2f,e8b63a,a5823b,b97e4b
20,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,Arm Bands,Cross,Moustache,,,f7c23c,dadae6,a5693b,f7b897
21,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,Hooded,,,Bolt,,,Two Tone,890ec1,dadae6,3ba577,f39c77
22,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,Bull,,,Left Band,Winged,,,,ebebf7,2854e6,3ba599,3a1b09
23,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,,Fierce,,,,f18e2f,ea184d,339842,f9d1b7
24,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,,Arrow,Moustache,,,890ec1,e8b63a,7fa53b,b97a50
25,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,Open Shirt,Gloves,Bolt,,,,890ec1,11b9b5,4e2906,f9d1b7
26,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,Jaguar,,,Right Band,,,,,1c1d2f,11b9b5,7fa53b,3a1b09
27,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,Jaguar,,Suspenders,,Cross,,,,1c49d8,2854e6,4e2906,f7b897
28,0xecfF2245B01cc32D32B466631c052249C953AD8c,,,,Open Shirt,Sleeves,Dash,,Tights,,1c49d8,ea184d,a5823b,f7b897
29,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,Hooded,,Sleeves,Cross,,,,f7c23c,13141f,7fa53b,ffcb84
30,0xCAe400e06B6D7d1632538C730223e9c06eE69f12,,,,,Gloves,Split,,,High,d22f94,e0369f,3b6ba5,ffcb84
31,0x3b3908eDD878ac42f1Ed3e53cc3Af02577D072c3,,,,Suspenders,Sleeves,,,,,13cac6,11b9b5,a5693b,ffcb84
32,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,Classic,,Wrist Bands,Dash,Moustache,,,f18e2f,e0369f,7fa53b,b97e4b
33,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Open Shirt,Sleeves,Winged,,,Two Tone,1c49d8,ea184d,a5693b,bd7e47
34,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Open Shirt,,Striped,,Trunk Tights,,890ec1,e0369f,7fa53b,3a1b09
35,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Shirt,Right Band,Winged,,,Two Tone,13cac6,e8b63a,a5693b,3a1b09
36,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Open Shirt,Right Band,Arrow,,Trunk Tights,,890ec1,9511d2,a5823b,3a1b09
37,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Open Shirt,Sleeves,Classic,,,Two Tone,d22f94,11b9b5,3b6ba5,ffcb84
38,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,Hooded,Shirt,Right Band,Arrow,,,Two Tone,890ec1,13141f,4e2906,f7b897
39,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,Hooded,,,,,,,d22f94,11b9b5,a5823b,f9d1b7
40,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Suspenders,Arm Bands,Classic,Moustache,,,1c49d8,ea184d,3ba577,ffcb84
41,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Singlet,Left Band,Winged,,,Two Tone,f7c23c,13141f,7fa53b,ffcb84
42,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Shirt,Right Band,Split,,,,890ec1,e0369f,7fa53b,3a1b09
43,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,,Wrist Bands,Split,,,High,1c1d2f,9511d2,3ba599,f7b897
44,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,,Sleeves,Split,Moustache,Tights,,13cac6,dadae6,844f1d,50270e
45,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Singlet,,Arrow,,,,d22f94,9511d2,a5823b,ffcb84
46,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Suspenders,Arm Bands,Dash,,,,d22f94,dadae6,a5823b,50270e
47,0xe8787b5a359c30318D9b805651D18275f33Fa1Bd,,Jaguar,,,,Arrow,,,,cc0d3d,dadae6,339842,f7b897
48,0x6ca323Ab76aa6d0C7406520f49795470662e9C84,,,,,Sleeves,Arrow,,,,f18e2f,1da951,844f1d,b97e4b
49,0x7362c41F92Aa7dF9E6F963925DFf0f1417e80B94,,,Classic,Suspenders,Gloves,Winged,,,,f18e2f,9511d2,7fa53b,5a3214
50,0x7ed42171Abded6b85a92B7516C0704F678742796,,,,,,Classic,,,,1c1d2f,ea184d,a5693b,bd7e47
51,0x7ed42171Abded6b85a92B7516C0704F678742796,,,,,,Split,,,,1c49d8,2854e6,3ba599,b97e4b
52,0x7ed42171Abded6b85a92B7516C0704F678742796,,Jaguar,,,,Fierce,,,,cc0d3d,e28327,3ba599,5a3214
53,0x7ed42171Abded6b85a92B7516C0704F678742796,,Bull,,,Sleeves,Winged,,,,f7c23c,13141f,4e2906,f39c77
54,0x8D3cD61164fF9a2ddCCccE933c5b4608F6562a82,,,Hooded,,Sleeves,Fierce,,,High,1c49d8,2854e6,4e2906,f9d1b7
55,0x1A4931493350E75D4a097fB2EfBBcF180C00Bb22,,,,,,Classic,,,,d22f94,e8b63a,339842,50270e
56,0xD1784D374e6C9308c80E2c432b0E700F48040A58,,,,Shirt,Left Band,Bolt,,,Two Tone,cc0d3d,e8b63a,3ba599,f9d1b7
57,0xD1784D374e6C9308c80E2c432b0E700F48040A58,,,,,Arm Bands,Split,Moustache,,,f7c23c,e8b63a,339842,ffcb84
58,0xaF2cc2741aFa212bE9FE80A3B853e3Fe48cb4eA2,,,,Suspenders,,Split,,,Two Tone,d22f94,2854e6,3b6ba5,bd7e47
59,0x651163F6F09931C38887980b2F8e51eB84e031d9,,,Hooded,Suspenders,,Split,,Trunk Tights,,1c1d2f,e28327,3ba577,3a1b09
60,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,,,Arrow,,,Two Tone,cc0d3d,dadae6,3ba577,b97e4b
61,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,,Arm Bands,Striped,,,,1c1d2f,e28327,a5823b,ffcb84
62,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,,Right Band,Classic,Moustache,,,890ec1,e8b63a,a5823b,f7b897
63,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,,,Bolt,,,Two Tone,ebebf7,1da951,844f1d,bd7e47
64,0xcDf0437d2ddE9307204f330dc6debd2D29Cc9d11,,,,Suspenders,,Cross,,,Two Tone,d22f94,13141f,a5693b,b97e4b
65,0x6bDD96390110208bDC7f5bbD9f94FBaA9546aA57,,Bull,,,Gloves,Bolt,,,High,f18e2f,9511d2,7fa53b,f7b897
66,0x11B58584df60F08Cfc53B39Cfa31F9BbdEd28055,Satoshi Nakamoto,,Classic,,Gloves,Winged,,Tights,,1c49d8,e28327,3ba599,b97e4b
67,0xdF7bCbDd0b5266d8d6DB0c483254aF515CE50f5d,,Bull,Hooded,,Gloves,Winged,,,,cc0d3d,11b9b5,a5823b,f39c77
68,0x11B58584df60F08Cfc53B39Cfa31F9BbdEd28055,Bitcoin,,,,Gloves,,,,,f7c23c,11b9b5,844f1d,3a1b09
