id,dna
1,16114366717556858012664454383553181306178551701860943073473866371843873730348
2,2308868810663820343440873874583052052426184688108554380962651581943707104644
3,49651686209267717207651188758271041189625798026310431917918798241225350995185
4,70868301335205282798913736880672505372792127454333735880090005551336589873586
5,114206728855052848442256093445354836600113018269714802435822649162167648460606
6,93361817900216806231005509009212412961823146305688450664599922063853374760904
7,105666982067482166109656209253985848829434943354035379555078415444207766574132
8,12223317755232671246823132714070639428773721156427846852855801322263920557471
9,52068727774905944824455664514768542141529573557299241702273868454295280155355
10,53426419539258584289721270095155575876612515803629350796417002140031239603144
11,95171456881946335704129126114221130947470934801131794159539060068844943827075
12,67454670775067229896033672246086370214608302816265059480094367283914130037858
13,47912013220922923312862666185718907641703936135861302208277348881437009167325
14,72615947011169412367300682344348315111827157013502292703301340169996715899346
15,35277843578320069044687877796638313406319124095225020338556630673435021420542
16,80627293443936421668953498603428559959723264088408976461981252552249228432422
17,28984744238649550224486944183446125489341470132230158030226043397590776470180
18,114749966627871260029400155881344226909056809230152722174516663319075397831548
19,56185475972961385040985927534853518142158401626778209627542708727568994286744
20,26761083596692231831563869799679142674338160860097158059099016100170864014834
21,14842141893905474274043461622025294977089545726859034580234166868230406949815
22,27207756508385680433009460290015018328504729685850566301834622290925099653920
23,74346420662842132318205192581693020229360250051842821250817211157042929628428
24,112477093940033875632812944147997843219648773274017344613334980112658473077924
25,77554540423062340405714664188504339200164235386284038301838879289097435140135
26,99214489372480678573506989058751660527133108480787917126502727520957145792851
27,28606880152755564789512752344947100896758173176354217338758425469195569119381
28,88226178117459735263942892981697933431577291827001279937448171255162530185136
29,43865854674365661101006368145574161188836728542818906058995033887351885515612
30,70652328600375626991083305317882790992113722639084325363076998291303312100757
31,42948557128903936905341587737965734009004686775890694129284577814377742295387
32,86346373305514516560542257982982650076115707235894246217045918796553957081603
33,51610613407523440582973015284240526986624820926025785770473973686472504355192
34,36751947635076594887710010806956240882786253984486411192509102257953451436195
