id,spirit,cape,torso,arms,mask,mouth,bottoms,boots,base,alt,eyes,skin
1,,,Suspenders,Gloves,Striped,,,,f7c23c,e0369f,339842,50270e
2,,,,Arm Bands,Split,,,Two Tone,13cac6,e0369f,339842,3a1b09
3,,,Open Shirt,Sleeves,,,Tights,,d22f94,2854e6,3ba599,f39c77
4,,,,Left Band,Arrow,,,,1c49d8,1da951,3ba577,ffcb84
5,,Classic,,Gloves,Classic,,,,19b554,11b9b5,a5823b,f7b897
6,,Classic,,Gloves,Classic,,,,d22f94,e0369f,7fa53b,50270e
7,,,Open Shirt,Arm Bands,Arrow,,,,13cac6,11b9b5,3b6ba5,f39c77
8,Jaguar,,,,Winged,,Tights,,f18e2f,e0369f,a5823b,f39c77
9,,,Suspenders,Sleeves,Winged,,Tights,,cc0d3d,2854e6,4e2906,f39c77
10,,,Open Shirt,Left Band,Split,,,,cc0d3d,13141f,3ba577,f9d1b7
11,,,Shirt,,Fierce,,,,f18e2f,9511d2,339842,50270e
12,,,,,Striped,Moustache,Tights,,1c1d2f,9511d2,3b8fa5,3a1b09
13,,,Suspenders,,Classic,,,Two Tone,ebebf7,11b9b5,3ba577,bd7e47
14,,,Suspenders,,,,,High,13cac6,1da951,4e2906,3a1b09
15,,,,Gloves,Fierce,,Trunk Tights,,ebebf7,2854e6,3ba577,bd7e47
16,,,,Right Band,Striped,,,,cc0d3d,e28327,339842,f39c77
17,Bull,,Open Shirt,Gloves,Arrow,,,,13cac6,dadae6,4e2906,b97e4b
18,,,,Wrist Bands,Striped,,,,d22f94,2854e6,a5693b,f9d1b7
19,,,,,Dash,,,,f18e2f,e8b63a,a5823b,b97e4b
20,,,,Arm Bands,Cross,Moustache,,,f7c23c,dadae6,a5693b,f7b897
21,,Hooded,,,Bolt,,,Two Tone,890ec1,dadae6,3ba577,f39c77
22,Bull,,,Left Band,Winged,,,,ebebf7,2854e6,3ba599,3a1b09
23,,,,,Fierce,,,,f18e2f,ea184d,339842,f9d1b7
24,,,,,Arrow,Moustache,,,890ec1,e8b63a,7fa53b,b97a50
25,,,Open Shirt,Gloves,Bolt,,,,890ec1,11b9b5,4e2906,f9d1b7
26,Jaguar,,,Right Band,,,,,1c1d2f,11b9b5,7fa53b,3a1b09
27,Jaguar,,Suspenders,,Cross,,,,1c49d8,2854e6,4e2906,f7b897
28,,,Open Shirt,Sleeves,Dash,,Tights,,1c49d8,ea184d,a5823b,f7b897
29,,Hooded,,Sleeves,Cross,,,,f7c23c,13141f,7fa53b,ffcb84
30,,,,Gloves,Split,,,High,d22f94,e0369f,3b6ba5,ffcb84
31,,,Suspenders,Sleeves,,,,,13cac6,11b9b5,a5693b,ffcb84
32,,Classic,,Wrist Bands,Dash,Moustache,,,f18e2f,e0369f,7fa53b,b97e4b
33,,,Open Shirt,Sleeves,Winged,,,Two Tone,1c49d8,ea184d,a5693b,bd7e47
34,,,Open Shirt,,Striped,,Trunk Tights,,890ec1,e0369f,7fa53b,3a1b09
35,,,Shirt,Right Band,Winged,,,Two Tone,13cac6,e8b63a,a5693b,3a1b09
36,,,Open Shirt,Right Band,Arrow,,Trunk Tights,,890ec1,9511d2,a5823b,3a1b09
37,,,Open Shirt,Sleeves,Classic,,,Two Tone,d22f94,11b9b5,3b6ba5,ffcb84
38,,Hooded,Shirt,Right Band,Arrow,,,Two Tone,890ec1,13141f,4e2906,f7b897
39,,Hooded,,,,,,,d22f94,11b9b5,a5823b,f9d1b7
40,,,Suspenders,Arm Bands,Classic,Moustache,,,1c49d8,ea184d,3ba577,ffcb84
41,,,Singlet,Left Band,Winged,,,Two Tone,f7c23c,13141f,7fa53b,ffcb84
42,,,Shirt,Right Band,Split,,,,890ec1,e0369f,7fa53b,3a1b09
43,,,,Wrist Bands,Split,,,High,1c1d2f,9511d2,3ba599,f7b897
44,,,,Sleeves,Split,Moustache,Tights,,13cac6,dadae6,844f1d,50270e
45,,,Singlet,,Arrow,,,,d22f94,9511d2,a5823b,ffcb84
46,,,Suspenders,Arm Bands,Dash,,,,d22f94,dadae6,a5823b,50270e
47,Jaguar,,,,Arrow,,,,cc0d3d,dadae6,339842,f7b897
48,,,,Sleeves,Arrow,,,,f18e2f,1da951,844f1d,b97e4b
49,,Classic,Suspenders,Gloves,Winged,,,,f18e2f,9511d2,7fa53b,5a3214
50,,,,,Classic,,,,1c1d2f,ea184d,a5693b,bd7e47
51,,,,,Split,,,,1c49d8,2854e6,3ba599,b97e4b
